"url","Name","Name_link","State","Date_established","Area"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Hawaiʻi Volcanoes","https://en.wikipedia.org/wiki/Hawai%CA%BBi_Volcanoes_National_Park","Hawaii","August 1, 1916","325,605.28 acres (1,317.7 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Hot Springs","https://en.wikipedia.org/wiki/Hot_Springs_National_Park","Arkansas","March 4, 1921","5,551.76 acres (22.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Indiana Dunes","https://en.wikipedia.org/wiki/Indiana_Dunes_National_Park","Indiana","February 15, 2019","15,348.43 acres (62.1 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Isle Royale","https://en.wikipedia.org/wiki/Isle_Royale_National_Park","Michigan","April 3, 1940","571,790.30 acres (2,314.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Joshua Tree","https://en.wikipedia.org/wiki/Joshua_Tree_National_Park","California","October 31, 1994","790,635.74 acres (3,199.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Katmai","https://en.wikipedia.org/wiki/Katmai_National_Park_and_Preserve","Alaska","December 2, 1980","3,674,529.33 acres (14,870.3 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Kenai Fjords","https://en.wikipedia.org/wiki/Kenai_Fjords_National_Park","Alaska","December 2, 1980","669,650.05 acres (2,710.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Kings Canyon","https://en.wikipedia.org/wiki/Kings_Canyon_National_Park","California","March 4, 1940","461,901.20 acres (1,869.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Kobuk Valley","https://en.wikipedia.org/wiki/Kobuk_Valley_National_Park","Alaska","December 2, 1980","1,750,716.16 acres (7,084.9 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Lake Clark","https://en.wikipedia.org/wiki/Lake_Clark_National_Park_and_Preserve","Alaska","December 2, 1980","2,619,816.49 acres (10,602.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Lassen Volcanic","https://en.wikipedia.org/wiki/Lassen_Volcanic_National_Park","California","August 9, 1916","106,589.02 acres (431.4 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Mammoth Cave","https://en.wikipedia.org/wiki/Mammoth_Cave_National_Park","Kentucky","July 1, 1941","54,011.91 acres (218.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Mesa Verde","https://en.wikipedia.org/wiki/Mesa_Verde_National_Park","Colorado","June 29, 1906","52,485.17 acres (212.4 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Mount Rainier","https://en.wikipedia.org/wiki/Mount_Rainier_National_Park","Washington","March 2, 1899","236,381.64 acres (956.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","North Cascades","https://en.wikipedia.org/wiki/North_Cascades_National_Park","Washington","October 2, 1968","504,780.94 acres (2,042.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Olympic","https://en.wikipedia.org/wiki/Olympic_National_Park","Washington","June 29, 1938","922,649.41 acres (3,733.8 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Petrified Forest","https://en.wikipedia.org/wiki/Petrified_Forest_National_Park","Arizona","December 9, 1962","221,390.21 acres (895.9 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Pinnacles","https://en.wikipedia.org/wiki/Pinnacles_National_Park","California","January 10, 2013","26,685.73 acres (108.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Redwood","https://en.wikipedia.org/wiki/Redwood_National_and_State_Parks","California","October 2, 1968","138,999.37 acres (562.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Rocky Mountain","https://en.wikipedia.org/wiki/Rocky_Mountain_National_Park","Colorado","January 26, 1915","265,807.25 acres (1,075.7 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Saguaro","https://en.wikipedia.org/wiki/Saguaro_National_Park","Arizona","October 14, 1994","91,715.72 acres (371.2 km"
